aX,aY,aZ,gX,gY,gZ
-0.073,-0.311,0.773,30.701,57.983,-8.728
-0.179,-0.257,0.807,27.893,35.889,5.066
-0.200,-0.199,0.818,17.700,18.311,10.315
-0.132,-0.168,0.889,7.935,5.493,5.493
-0.071,-0.137,0.976,-0.427,-5.066,-1.709
-0.074,-0.159,0.990,-8.667,-16.357,-7.080
-0.109,-0.192,0.996,-16.724,-27.222,-11.230
-0.108,-0.232,0.996,-25.879,-35.278,-10.010
-0.018,-0.328,0.975,-34.607,-38.452,-5.249
0.029,-0.415,0.952,-37.048,-39.246,-1.709
0.021,-0.393,0.962,-27.588,-38.513,-9.338
-0.073,-0.464,1.008,-10.986,-33.813,-17.456
-0.139,-0.441,1.069,2.869,-25.574,-22.217
-0.275,-0.334,1.092,10.864,-26.611,-22.156
-0.445,-0.235,1.120,13.550,-36.621,-21.912
-0.560,-0.189,1.163,10.925,-48.706,-20.874
-0.591,-0.057,1.218,1.709,-64.331,-20.081
-0.621,0.090,1.338,-13.916,-87.585,-20.996
-0.594,0.223,1.467,-41.077,-111.206,-19.287
-0.545,0.282,1.528,-77.209,-135.193,-20.508
-0.467,0.182,1.492,-112.427,-158.752,-31.860
-0.381,0.001,1.423,-141.479,-180.298,-46.143
-0.262,-0.311,1.319,-157.227,-196.167,-57.556
-0.212,-0.598,1.230,-156.921,-198.303,-66.040
-0.140,-0.607,1.125,-145.813,-190.491,-72.815
-0.216,-0.495,1.085,-131.348,-187.073,-72.510
-0.459,-0.368,1.103,-121.399,-199.707,-63.721
-0.731,-0.224,1.096,-120.728,-223.022,-51.147
-0.941,-0.091,1.112,-126.892,-251.953,-38.330
-1.120,0.070,1.101,-134.644,-284.424,-33.264
-1.243,0.208,1.133,-139.587,-314.819,-37.781
-1.290,0.333,1.163,-138.855,-341.614,-53.955
-1.248,0.413,1.234,-135.681,-361.816,-78.064
-1.101,0.378,1.316,-133.545,-373.108,-105.286
-0.923,0.304,1.362,-130.737,-375.977,-127.930
-0.839,0.249,1.310,-128.052,-370.789,-142.639
-0.743,0.141,1.388,-124.329,-353.516,-151.550
-0.651,0.105,1.277,-121.765,-342.834,-161.438
-0.696,0.075,1.125,-120.239,-338.623,-169.006
-0.809,0.066,0.927,-122.375,-330.322,-169.373
-0.829,0.123,0.695,-121.826,-313.354,-162.415
-0.811,0.203,0.475,-110.474,-292.175,-151.672
-0.830,0.313,0.264,-86.609,-273.254,-144.226
-0.891,0.419,0.111,-54.626,-256.104,-143.250
-0.972,0.587,0.059,-22.583,-238.159,-147.400
-1.055,0.849,0.083,2.014,-220.459,-154.785
-1.050,1.160,0.193,13.062,-204.468,-162.048
-1.048,1.352,0.268,8.850,-195.496,-167.480
-1.098,1.300,0.240,-4.883,-195.251,-174.744
-1.179,1.091,0.153,-20.752,-192.566,-192.993
-1.158,0.990,0.099,-29.785,-189.514,-225.098
-1.175,0.875,0.058,-26.733,-194.763,-258.972
-1.164,0.740,0.123,-21.179,-199.951,-280.884
-1.169,0.648,0.182,-20.020,-200.195,-282.654
-1.163,0.559,0.218,-17.517,-196.533,-270.386

-1.238,1.060,0.640,-15.198,-153.564,-217.468
-1.227,1.285,0.794,-22.888,-141.602,-229.248
-1.303,1.465,1.010,-41.016,-123.901,-243.774
-1.416,1.576,1.164,-69.824,-104.004,-266.479
-1.562,1.544,1.185,-103.943,-87.280,-299.683
-1.683,1.262,1.099,-137.573,-73.059,-339.355
-1.719,1.011,0.998,-167.053,-62.500,-376.404
-1.610,0.799,0.924,-181.458,-55.420,-395.996
-1.477,0.420,0.843,-182.922,-48.340,-389.099
-1.281,0.219,0.651,-181.396,-37.537,-367.615
-1.133,0.101,0.497,-169.312,-30.518,-342.590
-0.953,0.149,0.402,-154.724,-24.841,-310.913
-0.924,0.439,0.355,-139.160,-23.071,-272.461
-0.758,0.551,0.303,-125.305,-21.118,-242.737
-0.541,0.567,0.297,-123.352,-18.066,-233.276
-0.367,0.556,0.230,-130.676,-18.250,-233.704
-0.323,0.547,0.134,-138.123,-17.029,-241.150
-0.185,0.395,0.029,-136.475,-6.775,-250.610
-0.066,0.239,-0.035,-123.840,10.803,-262.817
-0.027,0.083,-0.134,-109.192,29.236,-272.888
