aX,aY,aZ,gX,gY,gZ
-0.160,-0.300,1.238,-2.991,67.322,196.655
-0.003,-0.382,1.109,-0.427,77.515,200.684
0.110,-0.494,1.024,8.789,93.140,210.266
0.091,-0.614,1.006,21.790,112.732,222.290
-0.070,-0.730,1.099,35.828,132.996,232.666
-0.315,-0.810,1.231,46.265,147.888,237.915
-0.535,-0.862,1.334,48.096,148.743,240.784
-0.714,-0.876,1.540,43.884,129.700,245.667
-0.878,-0.858,1.779,29.175,94.727,255.981
-0.989,-0.768,1.984,3.784,51.941,269.226
-1.094,-0.599,2.011,-26.978,12.390,284.485
-1.220,-0.307,1.992,-55.359,-15.259,296.143
-1.280,0.181,2.153,-78.369,-29.175,301.514
-1.570,0.748,2.234,-106.201,-35.400,306.091
-2.150,1.455,2.031,-141.968,-36.011,297.729
-3.520,2.151,2.429,-177.612,-29.724,268.250
-4.000,2.754,2.073,-219.238,-25.940,196.228
-4.000,2.295,1.412,-247.253,-5.188,61.157
-2.692,1.130,0.684,-232.056,-8.972,-75.439
-1.183,0.048,-0.047,-201.050,-35.278,-153.137
0.020,-0.546,-0.254,-166.443,-49.744,-168.030
0.443,-0.552,0.059,-122.314,-64.575,-150.879
0.479,-0.466,0.578,-85.144,-69.397,-123.047
0.367,-0.378,1.045,-70.190,-51.880,-105.408
0.226,-0.172,1.421,-79.346,-33.630,-98.999
0.078,0.007,1.667,-102.966,-35.767,-91.675
0.063,0.114,1.828,-138.428,-55.908,-81.421
-0.040,0.239,1.912,-185.547,-97.473,-69.397
-0.366,0.229,1.699,-236.633,-150.818,-47.852
-0.725,0.254,1.337,-276.001,-184.570,-43.396
-1.151,0.267,0.858,-290.955,-198.486,-62.134
-1.478,0.216,0.398,-276.611,-189.331,-96.619
-1.530,0.176,0.097,-239.319,-160.156,-141.663
-1.402,0.098,-0.044,-189.331,-124.939,-183.960
-1.301,0.032,0.052,-137.024,-94.360,-217.712
-1.201,0.021,0.253,-96.252,-72.327,-243.774
-1.152,0.001,0.403,-71.777,-66.101,-261.047
-1.070,-0.091,0.591,-56.824,-72.937,-272.339
-0.984,-0.126,0.769,-52.185,-93.689,-280.457
-0.900,-0.185,0.918,-56.091,-123.047,-280.457
-0.785,-0.280,1.080,-62.317,-153.076,-274.902
-0.660,-0.283,1.207,-71.167,-180.603,-267.639
-0.633,-0.320,1.210,-81.970,-204.712,-259.460
-0.727,-0.377,0.999,-92.285,-221.069,-254.150
-0.724,-0.354,0.786,-96.191,-223.816,-256.470
-0.702,-0.460,0.620,-84.229,-223.755,-259.033
-0.684,-0.504,0.507,-64.087,-223.633,-262.390
-0.646,-0.517,0.421,-43.579,-219.238,-264.526
-0.604,-0.567,0.416,-17.273,-211.670,-264.343
-0.518,-0.605,0.517,9.399,-197.571,-263.733
-0.442,-0.618,0.699,31.067,-181.091,-262.695
-0.376,-0.586,0.923,43.335,-167.969,-258.362
-0.365,-0.517,1.094,43.152,-159.058,-249.878
-0.499,-0.462,1.106,34.363,-155.884,-240.479
-0.651,-0.446,1.046,23.987,-158.264,-234.619
-0.739,-0.503,0.945,14.771,-162.720,-232.422
-0.745,-0.552,0.848,8.972,-169.067,-235.229
-0.664,-0.620,0.776,7.446,-182.007,-238.464
-0.523,-0.712,0.767,10.193,-200.012,-233.215
-0.303,-0.727,0.856,15.381,-215.454,-221.436
-0.178,-0.736,0.927,20.142,-226.501,-204.773
-0.067,-0.749,1.014,24.658,-225.769,-187.927
0.020,-0.749,1.126,29.907,-217.651,-175.903
0.036,-0.732,1.209,29.846,-208.618,-160.034
0.018,-0.716,1.306,29.175,-197.998,-139.465
-0.068,-0.678,1.409,29.297,-189.575,-121.460
-0.099,-0.621,1.638,27.893,-180.847,-105.103
-0.067,-0.519,1.919,21.240,-170.288,-89.111
-0.096,-0.390,2.120,5.859,-161.499,-75.928
-0.090,-0.212,2.209,-15.930,-153.625,-68.054
-0.033,-0.012,2.221,-40.100,-146.545,-60.974
0.013,0.142,2.083,-63.171,-137.451,-51.819
0.083,0.265,1.827,-80.444,-118.713,-46.753
0.207,0.361,1.539,-86.060,-92.102,-44.495
0.343,0.341,1.196,-74.829,-62.805,-37.170
0.482,0.324,1.044,-45.288,-29.480,-25.818
0.606,0.336,1.123,-7.935,4.822,-11.597
0.611,0.334,1.415,23.560,33.264,5.432
0.529,0.442,1.868,39.612,51.758,21.790
0.395,0.554,2.147,32.288,54.688,34.119
0.202,0.603,2.213,7.202,45.837,42.725
0.034,0.681,2.085,-25.391,35.889,42.725
-0.054,0.678,1.838,-52.917,31.067,35.706
-0.037,0.697,1.539,-74.951,37.109,22.217
-0.015,0.646,1.241,-86.609,47.363,15.381
-0.033,0.604,0.938,-83.984,57.556,18.311
-0.095,0.557,0.635,-72.388,71.167,23.621
-0.169,0.585,0.459,-51.086,86.060,25.757
-0.275,0.591,0.356,-22.888,93.750,28.381
-0.389,0.680,0.383,3.845,92.163,28.687
-0.492,0.794,0.499,23.560,81.665,26.184
-0.519,0.822,0.631,34.546,64.270,22.644
