aX,aY,aZ,gX,gY,gZ
-0.249,0.969,-0.341,-286.560,611.267,173.096
-0.136,0.706,-0.145,-280.945,578.186,140.137
-0.044,0.421,0.020,-283.875,530.518,101.196
0.036,0.181,0.132,-295.776,469.238,57.983
0.155,-0.087,0.109,-309.631,394.836,12.512
0.243,-0.348,-0.004,-317.078,314.087,-27.222
0.263,-0.566,-0.276,-312.622,234.375,-55.969
0.314,-0.823,-0.673,-296.814,166.260,-80.078
0.377,-1.057,-0.943,-273.743,121.277,-96.863
0.511,-1.330,-1.089,-249.573,101.501,-105.591
0.788,-1.787,-0.948,-226.318,97.534,-107.361
1.166,-2.056,-0.944,-213.074,108.765,-96.375
1.901,-2.445,-0.884,-217.712,107.971,-78.064
2.577,-2.445,-1.055,-254.700,32.288,-62.500
2.813,-2.099,-1.551,-291.687,-70.190,-71.960
2.522,-1.322,-2.191,-294.250,-185.486,-126.465
2.073,-0.138,-2.791,-234.436,-264.282,-226.318
1.667,1.443,-2.984,-130.310,-270.996,-332.336
1.947,2.296,-2.340,-17.639,-172.180,-368.164
3.032,2.493,-1.016,71.838,31.311,-242.126
3.999,1.362,0.446,100.220,204.102,-27.405
3.981,0.524,1.191,77.026,219.482,158.630
3.080,-0.329,1.462,61.340,98.145,252.075
1.712,-1.189,1.026,64.453,-84.534,269.531
0.182,-1.655,0.191,55.542,-252.563,248.840
-1.355,-1.649,-0.766,25.940,-370.789,203.369
-2.411,-1.285,-1.562,-12.024,-410.034,137.756
-2.816,-0.701,-2.141,-34.485,-351.746,58.044
-2.673,-0.285,-2.204,-27.893,-233.582,-14.709
-2.100,-0.176,-1.989,-15.442,-89.600,-51.941
-1.174,-0.023,-1.653,-26.733,52.734,-59.143
-0.297,0.165,-1.405,-44.739,149.353,-50.598
0.345,0.345,-1.224,-49.133,176.514,-38.147
0.768,0.453,-1.090,-38.330,152.283,-32.410
0.995,0.466,-0.986,-16.235,103.638,-35.950
1.190,0.404,-0.958,8.911,51.392,-45.227
1.398,0.341,-0.979,28.198,4.700,-61.279
1.448,0.404,-0.955,39.978,-40.161,-82.947
1.385,0.550,-0.909,50.781,-75.623,-97.046
1.207,0.498,-0.842,59.082,-96.191,-89.172
1.055,0.394,-0.769,54.260,-89.783,-64.026
1.007,0.410,-0.768,31.494,-62.073,-36.072
1.037,0.493,-0.778,8.972,-33.447,-13.245
1.062,0.518,-0.842,0.793,-22.827,1.282
1.079,0.520,-0.855,7.751,-22.034,10.498
1.076,0.501,-0.897,20.569,-32.715,18.372
1.078,0.520,-0.962,31.921,-46.448,26.489
1.106,0.533,-1.048,43.396,-61.279,33.691
1.072,0.541,-1.031,62.439,-85.632,40.710
1.047,0.518,-0.922,87.219,-109.131,49.622
1.067,0.355,-0.798,110.046,-127.014,62.683
1.060,0.184,-0.666,126.038,-144.653,74.036
1.026,0.087,-0.603,133.667,-163.879,80.322
0.983,0.013,-0.606,136.108,-182.434,83.618
0.972,-0.025,-0.593,135.620,-194.641,85.022
0.990,-0.000,-0.560,132.568,-200.317,87.952
1.048,0.014,-0.538,130.249,-202.698,93.445
1.134,0.006,-0.507,130.920,-206.543,99.854
1.262,0.002,-0.475,132.935,-212.708,107.117
1.356,0.011,-0.406,133.484,-220.886,114.807
1.431,0.006,-0.318,135.620,-237.244,123.535
1.571,-0.016,-0.238,140.320,-259.277,130.737
1.735,-0.024,-0.178,147.339,-290.588,133.789
1.836,-0.071,-0.142,155.823,-333.374,135.925
1.854,-0.133,-0.144,162.537,-376.343,139.587
1.797,-0.189,-0.170,165.039,-410.278,143.799
1.642,-0.246,-0.188,163.818,-433.655,148.987
1.413,-0.327,-0.139,159.485,-445.740,150.879
1.209,-0.375,-0.053,149.902,-448.120,149.292
1.039,-0.395,0.026,131.775,-439.331,148.682
0.943,-0.371,0.100,110.596,-417.725,148.132
0.887,-0.322,0.177,87.646,-393.250,147.217
0.827,-0.233,0.241,63.660,-370.300,148.254
0.775,-0.107,0.259,40.466,-342.407,152.100
0.752,0.010,0.265,19.653,-313.599,158.508
0.600,0.101,0.250,1.160,-289.490,168.762
0.335,0.196,0.228,-14.771,-268.127,181.213
0.031,0.321,0.171,-23.987,-244.751,189.026
-0.242,0.439,0.133,-27.100,-215.454,186.584
-0.605,0.556,0.033,-23.743,-189.941,173.157
-0.931,0.629,-0.044,-18.616,-176.086,148.315
-0.966,0.660,-0.095,-10.437,-167.847,110.657
-0.771,0.821,-0.013,0.183,-143.494,70.251
-0.529,1.041,0.038,7.812,-109.192,41.748
-0.488,1.214,-0.047,8.484,-85.876,39.673
-0.650,1.337,-0.144,8.911,-71.838,51.636
-0.797,1.390,-0.199,20.386,-65.063,53.162
-0.817,1.344,-0.171,44.250,-66.467,41.565
-0.925,1.308,-0.172,65.491,-68.909,27.405
-1.091,1.266,-0.172,76.355,-66.772,13.489
-1.170,1.182,-0.088,83.923,-54.077,0.977
-1.071,1.094,-0.035,82.642,-31.494,-11.047
-0.855,1.071,0.016,72.083,-4.517,-24.231
-0.589,1.109,0.055,58.105,20.813,-31.067
-0.380,1.217,0.069,44.556,43.823,-29.541
-0.167,1.355,0.056,33.447,64.758,-24.414

-1.254,1.372,0.204,-186.157,195.190,47.852
-1.415,1.182,0.300,-200.500,227.417,28.931
-1.535,0.934,0.348,-229.004,259.583,5.737
-1.613,0.753,0.331,-272.034,297.241,-23.804
-1.533,0.634,0.153,-326.050,337.585,-58.044
-1.365,0.606,-0.168,-383.484,366.943,-95.215
-1.072,0.684,-0.524,-427.490,381.348,-132.812
-0.573,0.828,-0.795,-444.458,381.287,-164.368
-0.268,0.989,-0.941,-437.012,362.488,-173.462
-0.196,0.977,-0.986,-420.044,348.206,-148.193
-0.385,0.790,-0.919,-404.175,352.539,-110.779
-0.497,0.495,-0.805,-394.653,362.122,-94.177
-0.548,0.190,-0.765,-387.146,362.427,-102.356
-0.526,-0.075,-0.768,-381.653,351.196,-128.113
-0.420,-0.311,-0.828,-377.869,329.651,-166.809
-0.276,-0.561,-0.877,-368.164,304.443,-212.341
-0.014,-0.866,-0.901,-352.234,281.616,-252.563
0.578,-1.216,-0.908,-336.121,259.766,-285.583
1.554,-1.380,-0.762,-319.397,244.995,-307.556
2.228,-1.266,-0.563,-315.063,213.562,-299.011
2.411,-1.103,-0.428,-322.571,166.809,-246.948
2.293,-1.272,-0.471,-322.571,122.070,-172.852
1.884,-1.619,-0.523,-308.777,78.979,-127.136
1.275,-1.979,-0.645,-292.114,58.411,-136.780
0.648,-2.009,-0.823,-279.602,68.420,-184.082
0.614,-2.226,-1.099,-293.030,71.594,-237.976
0.981,-1.826,-2.281,-355.042,125.732,-289.490
1.789,-0.512,-3.784,-432.922,195.068,-326.904
2.662,1.559,-4.000,-422.607,267.212,-342.712
3.387,3.039,-3.476,-273.621,299.744,-287.964
3.977,3.164,-1.960,-52.979,235.901,-164.124
3.971,2.096,-0.712,151.978,75.500,-31.128
3.102,0.521,0.147,305.176,-129.211,77.942
1.491,-1.000,0.448,357.910,-302.063,151.428
-0.139,-1.859,0.342,305.786,-361.267,180.786
-1.232,-1.897,0.040,179.443,-307.739,167.847
-1.577,-1.472,-0.449,47.058,-198.975,133.667
-1.391,-0.959,-0.798,-38.879,-88.257,105.530
-1.157,-0.630,-1.063,-72.205,-23.987,91.064
-0.963,-0.498,-1.375,-72.021,-8.362,78.369
-0.830,-0.462,-1.623,-56.274,-16.785,59.326
-0.722,-0.412,-1.735,-36.438,-25.330,35.950
-0.646,-0.295,-1.736,-21.667,-23.010,19.775
-0.510,-0.167,-1.744,-13.733,-8.728,11.230
-0.233,-0.080,-1.743,-3.601,8.850,1.404
0.085,-0.015,-1.577,17.578,19.226,-8.423
0.359,-0.016,-1.331,43.274,12.207,-13.733
0.532,-0.089,-1.101,63.110,-8.118,-15.198
0.560,-0.131,-0.871,74.402,-36.499,-19.104
0.482,-0.185,-0.763,75.684,-67.261,-22.278
0.323,-0.235,-0.829,65.491,-88.562,-18.372
0.214,-0.228,-1.035,44.861,-90.332,-16.235
0.199,-0.137,-1.256,25.391,-74.890,-18.738
0.292,-0.003,-1.370,13.000,-50.964,-21.423
0.458,0.138,-1.454,6.592,-29.297,-18.250
0.616,0.254,-1.530,4.944,-15.625,-9.888
0.743,0.334,-1.583,11.902,-11.047,0.366
0.826,0.385,-1.609,27.466,-15.503,13.550
0.860,0.382,-1.620,49.316,-29.541,28.259
0.863,0.355,-1.597,76.782,-51.941,40.710
0.829,0.313,-1.546,108.582,-82.214,48.950
0.761,0.258,-1.454,141.968,-114.075,56.946
0.690,0.110,-1.372,174.316,-143.433,68.420
0.583,-0.039,-1.237,202.087,-169.861,78.125
0.485,-0.175,-1.073,220.093,-187.866,84.473
0.448,-0.224,-0.973,226.440,-191.895,89.539
0.487,-0.221,-0.884,225.830,-187.744,93.384
0.575,-0.214,-0.737,227.112,-183.472,98.206
0.686,-0.224,-0.643,226.807,-183.044,104.858
0.779,-0.204,-0.578,224.426,-185.486,111.511
0.850,-0.204,-0.465,226.685,-188.538,116.760
0.882,-0.243,-0.318,230.896,-192.688,122.864
0.936,-0.302,-0.202,231.445,-195.862,129.333
1.035,-0.367,-0.135,227.905,-198.242,133.484
1.138,-0.390,-0.105,220.642,-202.698,135.986
1.171,-0.352,-0.119,211.304,-211.853,137.207
1.211,-0.297,-0.129,206.848,-222.473,134.644
