aX,aY,aZ,gX,gY,gZ
1.422,-0.397,1.286,-95.703,141.418,-16.968
1.446,-0.462,1.220,-86.853,125.061,-5.127
1.341,-0.456,1.176,-86.609,102.234,6.226
1.239,-0.468,1.068,-90.210,82.642,15.442
1.062,-0.470,1.057,-99.792,64.697,20.813
0.906,-0.489,1.047,-103.699,64.758,23.987
0.765,-0.522,1.006,-100.464,82.092,25.696
0.680,-0.536,1.062,-98.267,104.431,29.480
0.708,-0.545,1.125,-100.586,130.554,35.339
0.763,-0.568,1.120,-102.234,149.841,40.833
0.773,-0.597,1.148,-99.243,155.640,40.344
0.752,-0.616,1.163,-98.206,156.494,38.635
0.775,-0.637,1.107,-102.783,154.602,41.260
0.799,-0.587,1.035,-108.459,148.987,43.823
0.808,-0.499,0.994,-112.610,143.799,43.091
0.715,-0.437,0.929,-111.938,140.137,43.274
0.680,-0.347,0.852,-107.727,143.738,46.631
0.602,-0.334,0.780,-103.333,140.137,62.439
0.626,-0.364,0.708,-96.924,139.587,76.294
0.632,-0.438,0.631,-84.717,132.751,83.862
0.752,-0.482,0.473,-74.402,117.981,76.477
0.536,-0.464,0.521,-71.228,81.909,61.951
0.221,-0.417,0.517,-66.223,56.213,59.204

0.774,-0.484,1.402,138.550,-1.221,-57.556
0.839,-0.521,1.495,134.277,-4.333,-53.162
0.946,-0.503,1.511,126.770,-5.127,-50.049
0.996,-0.473,1.543,116.272,-13.733,-44.189
1.001,-0.434,1.501,104.797,-27.588,-33.569
0.962,-0.380,1.441,96.313,-40.894,-23.071
0.860,-0.403,1.342,91.064,-52.246,-13.245
0.858,-0.357,1.213,86.792,-50.110,-9.277
0.786,-0.385,1.166,84.412,-56.213,-5.859
0.734,-0.405,1.125,83.374,-61.157,-0.671
0.665,-0.409,1.071,84.229,-63.416,2.930
0.594,-0.410,1.018,87.036,-62.866,3.418
0.530,-0.414,1.007,90.088,-59.143,1.282
0.519,-0.430,1.024,91.431,-50.354,-0.793
0.506,-0.419,1.072,91.614,-38.818,-1.953
