aX,aY,aZ,gX,gY,gZ
-0.041,-0.241,0.943,1.465,-2.869,3.540
-0.026,-0.246,0.943,2.380,-0.488,2.625
-0.030,-0.236,0.927,2.197,1.404,3.113
-0.029,-0.236,0.932,2.747,2.014,3.418
-0.018,-0.249,0.941,3.967,2.686,3.601
-0.028,-0.257,0.950,4.211,2.991,3.967
-0.032,-0.264,0.954,4.822,3.418,2.991
-0.029,-0.257,0.958,4.883,3.906,1.465
-0.023,-0.255,0.962,4.333,4.211,0.916
-0.016,-0.262,0.968,3.906,4.395,0.549
-0.004,-0.250,0.970,3.357,4.639,0.061
0.007,-0.233,0.971,2.014,4.517,0.916
0.009,-0.239,0.993,1.770,2.808,2.197
0.021,-0.238,1.003,3.174,0.854,2.136
0.031,-0.246,1.056,4.456,-2.502,1.099
0.042,-0.260,1.121,4.822,-5.920,0.122
0.068,-0.284,1.197,3.845,-9.460,-0.671
0.073,-0.310,1.301,1.465,-13.855,-0.610
0.046,-0.347,1.416,-2.869,-18.188,1.465
0.001,-0.398,1.502,-10.681,-19.714,4.700
-0.049,-0.447,1.570,-21.790,-17.212,7.080
-0.057,-0.491,1.611,-34.790,-11.780,8.423
-0.040,-0.517,1.625,-48.279,-7.019,7.874
-0.034,-0.513,1.620,-60.364,-6.165,5.371
-0.018,-0.498,1.608,-69.275,-8.545,1.953
-0.009,-0.479,1.624,-76.050,-14.832,-1.282
-0.022,-0.483,1.652,-83.496,-20.996,-2.930
-0.077,-0.503,1.653,-94.666,-25.757,-3.052
-0.117,-0.506,1.655,-109.131,-27.405,-3.601
-0.087,-0.489,1.640,-125.488,-25.024,-4.578
-0.026,-0.471,1.638,-142.029,-23.071,-4.150
0.016,-0.460,1.611,-158.142,-24.475,-1.831
0.005,-0.428,1.545,-174.500,-30.029,2.441
-0.052,-0.380,1.449,-187.744,-34.668,4.517
-0.128,-0.320,1.350,-197.632,-37.781,3.174
-0.111,-0.258,1.324,-205.261,-35.645,-0.122
-0.008,-0.232,1.327,-213.318,-29.846,-2.808
0.040,-0.197,1.300,-223.877,-26.855,-0.671
-0.003,-0.182,1.229,-230.896,-31.250,3.723
-0.019,-0.158,1.125,-229.919,-38.391,5.554
-0.065,-0.111,1.090,-226.013,-46.387,2.563
-0.175,-0.092,1.032,-225.281,-47.546,-1.404
-0.320,-0.087,0.988,-227.722,-40.344,-5.249
-0.394,-0.055,0.929,-231.812,-22.827,-13.184
-0.257,0.029,0.757,-235.535,0.366,-23.926
-0.145,0.146,0.679,-235.779,11.780,-32.104
-0.072,0.246,0.659,-230.530,13.123,-34.546
-0.022,0.277,0.652,-222.046,12.085,-30.273
-0.014,0.286,0.645,-215.637,11.963,-22.583
0.017,0.295,0.639,-212.219,11.047,-16.418
0.061,0.305,0.585,-209.656,6.897,-13.428
0.045,0.354,0.523,-204.529,-5.493,-12.695
0.058,0.402,0.462,-195.251,-19.836,-13.977
0.032,0.436,0.427,-183.350,-32.349,-13.794
-0.067,0.424,0.435,-171.265,-41.992,-10.803
-0.194,0.404,0.424,-163.391,-41.077,-8.301
-0.257,0.390,0.400,-164.062,-26.306,-8.423
-0.195,0.406,0.340,-169.189,-3.967,-11.780
-0.111,0.489,0.296,-172.363,12.695,-14.832
-0.015,0.561,0.284,-170.044,26.245,-12.695
0.007,0.575,0.326,-162.354,35.156,-8.667
